AAER DATABASE IDENTIFIER,COMPUSTAT IDENTIFIER,ID,CONAME_x,CIK_x,YEARA,FYR,DATE,P_AAER_x,UNDERSTATEMENT,YEAR,CONAME_y,CIK_y,QUARTER,ANNUAL,REASON,EXPLANATION,AUDIT,BRIBES,DISCLOSURE,NODATES,OTHER,REV,REC,COGS,INV,RES,DEBT,MKT_SEC,INC_EXP_SE,ASSET,PAY,LIAB,FIGURE,P_AAER_y,AAER1,AAER2,AAER3,AAER4,AAER5,AAER6,AAER7,AAER8,AAER9,AAER10,AAER11,AAER12,AAER13,AAER14,AAER15,AAER16,AAER17,AAER18,AAER19,AAER20,AAER21,AAER22,AAER23,AAER24,AAER25,AAER26,AAER27,AAER28,AAER29,AAER30,AAER31,AAER32,AAER33,AAER34,AAER35,AAER36,AAER37,AAER38,AAER39,AAER40,AAER41,AAER42,AAER43,AAER44,AAER45,AAER46,AAER47,AAER48,AAER49,TotalAAER
Sunbeam Corporation,SUNBEAM CORPORATION,1130,Sunbeam Corporation,3662,1997,12,12/31/97,1393,0,1997,Sunbeam Corporation,3662,1,1,,"Created and used improper restructuring reserves, revenue recognition , ""bill and hold"", ""channel stuffing"".",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1393,1707,1706,1705,1663,1623,1395,1394,1393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
"ANW, Inc.",ALLIANCE NORTHWEST INDS INC,98,"ANW, Inc.",745452,1990,12,12/31/90,789,0,1990,"ANW, Inc.",745452,1,1,,failed to file fourteen of the fifteen required filing and the 5 they filed overstated their assets,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,789,831,789,755,691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
"ANW, Inc.",ALLIANCE NORTHWEST INDS INC,98,"ANW, Inc.",745452,1991,12,12/31/91,789,0,1991,"ANW, Inc.",745452,1,1,,failed to file fourteen of the fifteen required filing and the 5 they filed overstated their assets,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,789,831,789,755,691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
"ANW, Inc.",ALLIANCE NORTHWEST INDS INC,98,"ANW, Inc.",745452,1992,12,12/31/92,789,0,1992,"ANW, Inc.",745452,1,1,,failed to file fourteen of the fifteen required filing and the 5 they filed overstated their assets,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,789,831,789,755,691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
"ANW, Inc.",ALLIANCE NORTHWEST INDS INC,98,"ANW, Inc.",745452,1993,12,12/31/93,789,0,1993,"ANW, Inc.",745452,1,1,,failed to file fourteen of the fifteen required filing and the 5 they filed overstated their assets,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,789,831,789,755,691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
"ANW, Inc.",ALLIANCE NORTHWEST INDS INC,98,"ANW, Inc.",745452,1994,12,12/31/94,789,0,1994,"ANW, Inc.",745452,1,1,,failed to file fourteen of the fifteen required filing and the 5 they filed overstated their assets,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,789,831,789,755,691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Alpex Computer Corp.,ALPEX COMPUTER CORP,53,Alpex Computer Corp.,4107,1981,12,12/31/81,27,0,1981,Alpex Computer Corp.,4107,1,1,,"recorded gains from sham transaction, overvalued the value of a purchase and misappropriated funds",0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
American Continental Corporation (former subsidiary Lincoln Savings and Loan Association),AMERICAN CONTINENTAL CORP,67,American Continental Corporation (former subsidiary Lincoln Savings and Loan Association),314474,1985,12,12/31/85,541,0,1985,American Continental Corporation (former subsidiary Lincoln Savings and Loan Association),314474,1,1,,inappropriately recognized gains from real estate transactions falsified documents in order to issue debentures,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,541,541,447,409,408,402,401,346,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
American Continental Corporation (former subsidiary Lincoln Savings and Loan Association),AMERICAN CONTINENTAL CORP,67,American Continental Corporation (former subsidiary Lincoln Savings and Loan Association),314474,1986,12,12/31/86,541,0,1986,American Continental Corporation (former subsidiary Lincoln Savings and Loan Association),314474,1,1,,inappropriately recognized gains from real estate transactions falsified documents in order to issue debentures,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,541,541,447,409,408,402,401,346,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
American Continental Corporation (former subsidiary Lincoln Savings and Loan Association),AMERICAN CONTINENTAL CORP,67,American Continental Corporation (former subsidiary Lincoln Savings and Loan Association),314474,1987,12,12/31/87,541,0,1987,American Continental Corporation (former subsidiary Lincoln Savings and Loan Association),314474,1,1,,inappropriately recognized gains from real estate transactions falsified documents in order to issue debentures,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,541,541,447,409,408,402,401,346,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
American/Davey Corporation,AMERICAN/DAVEY CORP,82,American/Davey Corporation,,1982,6,6/30/82,70,0,1982,American/Davey Corporation,,1,1,,overstated revenues and assets by imporper recording of purported sales and parts on consignment,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,70,70,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
American/Davey Corporation,AMERICAN/DAVEY CORP,82,American/Davey Corporation,,1983,6,6/30/83,70,0,1983,American/Davey Corporation,,1,1,,overstated revenues and assets by imporper recording of purported sales and parts on consignment,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,70,70,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
American Express Company,AMERICAN EXPRESS CO,69,American Express Company,4962,1981,12,12/31/81,452,0,1981,American Express Company,4962,1,1,,improper accounting for reinsurance transactions that resulted in income overstatement for 4 periods,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,452,452,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
American Express Company,AMERICAN EXPRESS CO,69,American Express Company,4962,1982,12,12/31/82,452,0,1982,American Express Company,4962,1,1,,improper accounting for reinsurance transactions that resulted in income overstatement for 4 periods,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,452,452,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
"American International Group, Inc.",AMERICAN INTERNATIONAL GROUP,72,"American International Group, Inc.",5272,2000,12,12/31/00,2145,0,2000,"American International Group, Inc.",5272,1,1,,"did not consolidate SPE - reduced assets, liabilities and expenses related to reduction in value of the SPE assets, falsely inflated loss reserves by $500 mil, improperly converted $200 mil of underwriting losses to investment losses and failed to consolidate one of its subsidiaries' financial results",0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,2145,2371,2369,2261,2145,2523,3032,3037,3062,3108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
"American International Group, Inc.",AMERICAN INTERNATIONAL GROUP,72,"American International Group, Inc.",5272,2001,12,12/31/01,2145,0,2001,"American International Group, Inc.",5272,1,1,,"did not consolidate SPE - reduced assets, liabilities and expenses related to reduction in value of the SPE assets, falsely inflated loss reserves by $500 mil, improperly converted $200 mil of underwriting losses to investment losses and failed to consolidate one of its subsidiaries' financial results",0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,2145,2371,2369,2261,2145,2523,3032,3037,3062,3108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
"American International Group, Inc.",AMERICAN INTERNATIONAL GROUP,72,"American International Group, Inc.",5272,2002,12,12/31/02,2145,0,2002,"American International Group, Inc.",5272,1,1,,"did not consolidate SPE - reduced assets, liabilities and expenses related to reduction in value of the SPE assets, falsely inflated loss reserves by $500 mil, improperly converted $200 mil of underwriting losses to investment losses and failed to consolidate one of its subsidiaries' financial results",0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,2145,2371,2369,2261,2145,2523,3032,3037,3062,3108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
"American International Group, Inc.",AMERICAN INTERNATIONAL GROUP,72,"American International Group, Inc.",5272,2003,12,12/31/03,2145,0,2003,"American International Group, Inc.",5272,1,1,,"did not consolidate SPE - reduced assets, liabilities and expenses related to reduction in value of the SPE assets, falsely inflated loss reserves by $500 mil, improperly converted $200 mil of underwriting losses to investment losses and failed to consolidate one of its subsidiaries' financial results",0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,2145,2371,2369,2261,2145,2523,3032,3037,3062,3108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
"American Mobile Systems, Inc.",AMERICAN MOBILE SYS,74,"American Mobile Systems, Inc.",714593,1989,6,6/30/89,683,0,1989,"American Mobile Systems, Inc.",714593,1,1,no detailed info regarding type,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,683,747,687,683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"American Mobile Systems, Inc.",AMERICAN MOBILE SYS,74,"American Mobile Systems, Inc.",714593,1990,6,6/30/90,683,0,1990,"American Mobile Systems, Inc.",714593,1,1,no detailed info regarding type,CEO misused company funds for personal use and the arrangement was not disclosed in MD&A related party disclosure,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,683,747,687,683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"American Mobile Systems, Inc.",AMERICAN MOBILE SYS,74,"American Mobile Systems, Inc.",714593,1991,6,6/30/91,683,0,1991,"American Mobile Systems, Inc.",714593,1,1,no detailed info regarding type,CEO misused company funds for personal use and the arrangement was not disclosed in MD&A related party disclosure,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,683,747,687,683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
ASK Corporation,ASK CORPORATION,124,ASK Corporation,314202,1983,7,7/31/83,236,0,1983,ASK Corporation,314202,1,1,,inflated revenues by recognizing sales before installations were completed,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,236,287,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
ASK Corporation,ASK CORPORATION,124,ASK Corporation,314202,1984,7,7/31/84,236,0,1984,ASK Corporation,314202,1,1,,inflated revenues by recognizing sales before installations were completed,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,236,287,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Analogic Corporation,ANALOGIC CORP,1493,Analogic Corporation,6284,2001,7,7/31/01,3784,0,2001,Analogic Corporation,6284,1,1,,Failed to Make and Keep Accurate Books and Records and Maintain an Adequate Internal Accounting Control System,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3784,3784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Analogic Corporation,ANALOGIC CORP,1493,Analogic Corporation,6284,2002,7,7/31/02,3784,0,2002,Analogic Corporation,6284,1,1,,Failed to Make and Keep Accurate Books and Records and Maintain an Adequate Internal Accounting Control System,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3784,3784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Analogic Corporation,ANALOGIC CORP,1493,Analogic Corporation,6284,2003,7,7/31/03,3784,0,2003,Analogic Corporation,6284,1,1,,Failed to Make and Keep Accurate Books and Records and Maintain an Adequate Internal Accounting Control System,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3784,3784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Analogic Corporation,ANALOGIC CORP,1493,Analogic Corporation,6284,2004,7,7/31/04,3784,0,2004,Analogic Corporation,6284,1,1,,Failed to Make and Keep Accurate Books and Records and Maintain an Adequate Internal Accounting Control System,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3784,3784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Analogic Corporation,ANALOGIC CORP,1493,Analogic Corporation,6284,2005,7,7/31/05,3784,0,2005,Analogic Corporation,6284,1,1,,Failed to Make and Keep Accurate Books and Records and Maintain an Adequate Internal Accounting Control System,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3784,3784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Analogic Corporation,ANALOGIC CORP,1493,Analogic Corporation,6284,2006,7,7/31/06,3784,0,2006,Analogic Corporation,6284,1,1,,Failed to Make and Keep Accurate Books and Records and Maintain an Adequate Internal Accounting Control System,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3784,3784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Analogic Corporation,ANALOGIC CORP,1493,Analogic Corporation,6284,2007,7,7/31/07,3784,0,2007,Analogic Corporation,6284,1,1,,Failed to Make and Keep Accurate Books and Records and Maintain an Adequate Internal Accounting Control System,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3784,3784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Analogic Corporation,ANALOGIC CORP,1493,Analogic Corporation,6284,2008,7,7/31/08,3784,0,2008,Analogic Corporation,6284,1,1,,Failed to Make and Keep Accurate Books and Records and Maintain an Adequate Internal Accounting Control System,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3784,3784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Analogic Corporation,ANALOGIC CORP,1493,Analogic Corporation,6284,2009,7,7/31/09,3784,0,2009,Analogic Corporation,6284,1,1,,Failed to Make and Keep Accurate Books and Records and Maintain an Adequate Internal Accounting Control System,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3784,3784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Analogic Corporation,ANALOGIC CORP,1493,Analogic Corporation,6284,2010,7,7/31/10,3784,0,2010,Analogic Corporation,6284,1,1,,Failed to Make and Keep Accurate Books and Records and Maintain an Adequate Internal Accounting Control System,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3784,3784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Apple, Inc.",APPLE INC,110,"Apple, Inc.",320193,2001,9,9/30/01,2880,0,2001,"Apple, Inc.",320193,1,1,,backdated stock options and understated compensation expense,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2880,2880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Apple, Inc.",APPLE INC,110,"Apple, Inc.",320193,2002,9,9/30/02,2880,0,2002,"Apple, Inc.",320193,1,1,,backdated stock options and understated compensation expense,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2880,2880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Ashland Inc.,ASHLAND GLOBAL HOLDINGS INC,122,Ashland Inc.,1305014,1999,9,9/30/99,2518,0,1999,Ashland Inc.,1305014,1,1,,reduced the cost estimates and reserve for remediating environmental contamination ,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2518,2518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Ashland Inc.,ASHLAND GLOBAL HOLDINGS INC,122,Ashland Inc.,1305014,2000,9,9/30/00,2518,0,2000,Ashland Inc.,1305014,1,1,,reduced the cost estimates and reserve for remediating environmental contamination ,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2518,2518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Ashland Inc.,ASHLAND GLOBAL HOLDINGS INC,122,Ashland Inc.,1305014,2001,9,9/30/01,2518,0,2001,Ashland Inc.,1305014,1,1,,reduced the cost estimates and reserve for remediating environmental contamination ,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2518,2518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Avon Products, Inc.",AVON PRODUCTS,143,"Avon Products, Inc.",8868,1999,12,12/31/99,1595,0,1999,"Avon Products, Inc.",8868,1,1,,failed to write down assets,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1595,1595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
BTK Industries Inc.,BTK INDUSTRIES INC,201,BTK Industries Inc.,12152,1982,9,9/30/82,47,0,1982,BTK Industries Inc.,12152,1,1,,recognized bill-and-hold transactions,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,47,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Baldwin-United Corporation (its subsidiary, D.H. Baldwin Company)",BALDWIN (D H) CO,149,"Baldwin-United Corporation (its subsidiary, D.H. Baldwin Company)",,1982,12,12/31/82,74,0,1982,"Baldwin-United Corporation (its subsidiary, D.H. Baldwin Company)",,1,1,,premature recognition of single premuim deferred annuities that inflated net income,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,74,75,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
"Barton Industries, Inc.",BARTON INDUSTRIES INC,162,"Barton Industries, Inc.",352383,1989,9,9/30/89,522,0,1989,"Barton Industries, Inc.",352383,1,1,,inflated income through fictitious sales,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,522,625,592,539,538,522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
Bausch & Lomb Incorporated,BAUSCH & LOMB HLDGS  -REDH,164,Bausch & Lomb Incorporated,1416436,1993,12,12/31/93,987,0,1993,Bausch & Lomb Incorporated,1416436,1,1,,inflated revenues by recognizing sales on consignment,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,987,988,987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
"Bercor, Inc.",BERCOR INC,169,"Bercor, Inc.",770503,1986,3,3/31/87,273,0,1987,"Bercor, Inc.",770503,1,1,,decreased inventory reserves in order to increase income,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,273,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Lexington Precision Corporation,LEXINGTON PRECISION CORP,711,Lexington Precision Corporation,12570,1989,12,12/31/89,422,0,1989,Lexington Precision Corporation,12570,1,1,,accounted for a decline in the market value of its ComFed common stock by charging stockholders' equity for an unrealized loss rather than recognizing losses,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,422,422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Bristol-Myers Squibb Company,BRISTOL-MYERS SQUIBB CO,190,Bristol-Myers Squibb Company,14272,2000,12,12/31/00,2075,0,2000,Bristol-Myers Squibb Company,14272,1,1,,"inflated income by channel-stuffing, cookie-jar reserves and recognizing rev on sales on consignment",0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2075,2075,2294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Bristol-Myers Squibb Company,BRISTOL-MYERS SQUIBB CO,190,Bristol-Myers Squibb Company,14272,2001,12,12/31/01,2075,0,2001,Bristol-Myers Squibb Company,14272,1,1,,"inflated income by channel-stuffing, cookie-jar reserves and recognizing rev on sales on consignment",0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2075,2075,2294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
